habitat,crab_params,env_params,pearson_cor,n,p
bcb,burrow_density,bare,NA,0,NA
bcb,burrow_density,bulk_density,-0.3988480191499428,20,0.08151135682450894
bcb,burrow_density,cover_disspi,NA,0,NA
bcb,burrow_density,cover_ivafru,NA,0,NA
bcb,burrow_density,cover_junger,NA,0,NA
bcb,burrow_density,cover_spaalt,NA,0,NA
bcb,burrow_density,cover_spapat,NA,0,NA
bcb,burrow_density,elevation,0.5718582778664102,20,0.008428552231773967
bcb,burrow_density,height_disspi,NA,0,NA
bcb,burrow_density,height_junger,NA,0,NA
bcb,burrow_density,height_spaalt,NA,0,NA
bcb,burrow_density,height_spapat,NA,0,NA
bcb,burrow_density,perc_moisture,0.2857310734726831,20,0.22200659237762288
bcb,burrow_density,perc_organic,0.5159087363720861,20,0.019886255665543473
bcb,burrow_density,shear_strength,0.17861356102116657,20,0.4511848134007428
iva,burrow_density,bare,0.14911733315064493,20,0.5303595712718052
iva,burrow_density,bulk_density,0.5257145382535198,20,0.017281032136123198
iva,burrow_density,cover_disspi,0.010823608943651806,20,0.9638769869094719
iva,burrow_density,cover_ivafru,-0.370362643001541,20,0.1079598699486446
iva,burrow_density,cover_junger,-0.282237423211178,20,0.22795890894472182
iva,burrow_density,cover_spaalt,NA,0,NA
iva,burrow_density,cover_spapat,NA,0,NA
iva,burrow_density,elevation,-0.3428418007623437,20,0.13892884605999756
iva,burrow_density,height_disspi,-0.09539221344800522,10,0.7932180215882463
iva,burrow_density,height_junger,-0.8143911019347571,8,0.013843142260555386
iva,burrow_density,height_spaalt,NA,0,NA
iva,burrow_density,height_spapat,NA,0,NA
iva,burrow_density,perc_moisture,-0.6277105515604908,20,0.0030457072715788236
iva,burrow_density,perc_organic,-0.5975689609671867,20,0.005395573423714106
iva,burrow_density,shear_strength,0.07509820876715649,19,0.7599442939987842
mp,burrow_density,bare,-0.02400774237343931,20,0.9199739008366392
mp,burrow_density,bulk_density,0.7378922263562733,20,2.0422021840960092e-4
mp,burrow_density,cover_disspi,0.18045706904833067,20,0.4464493906820255
mp,burrow_density,cover_ivafru,NA,0,NA
mp,burrow_density,cover_junger,NA,0,NA
mp,burrow_density,cover_spaalt,-0.3278746707885928,20,0.1581697712016472
mp,burrow_density,cover_spapat,0.14401012418634965,20,0.5446906929288593
mp,burrow_density,elevation,-0.46008054642905694,20,0.041235478722002394
mp,burrow_density,height_disspi,0.03448671839962686,14,0.906828165337594
mp,burrow_density,height_junger,NA,0,NA
mp,burrow_density,height_spaalt,-0.3275603667491366,6,0.5262323746707966
mp,burrow_density,height_spapat,-0.15941347490690916,11,0.6396480433855161
mp,burrow_density,perc_moisture,-0.7721342657878247,20,6.644101088371102e-5
mp,burrow_density,perc_organic,-0.6667910782313055,20,0.0013231077167397132
mp,burrow_density,shear_strength,-0.08765350885538374,20,0.7132711524296456
vcb,burrow_density,bare,0.43916032325298143,20,0.052713075063473225
vcb,burrow_density,bulk_density,-0.4060068775540174,19,0.08456435637156412
vcb,burrow_density,cover_disspi,NA,0,NA
vcb,burrow_density,cover_ivafru,NA,0,NA
vcb,burrow_density,cover_junger,NA,0,NA
vcb,burrow_density,cover_spaalt,-0.45347530867446506,20,0.044627394284738164
vcb,burrow_density,cover_spapat,NA,0,NA
vcb,burrow_density,elevation,-0.04631815488836616,20,0.8462488818238023
vcb,burrow_density,height_disspi,NA,0,NA
vcb,burrow_density,height_junger,NA,0,NA
vcb,burrow_density,height_spaalt,-0.285895454447738,20,0.22172905815399746
vcb,burrow_density,height_spapat,NA,0,NA
vcb,burrow_density,perc_moisture,0.2899694472730166,19,0.2285024312571171
vcb,burrow_density,perc_organic,0.25680284026237504,19,0.2885474630993492
vcb,burrow_density,shear_strength,-0.3477155007118203,18,0.15739142251560345
