crab_param,term,df,sumsq,meansq,statistic,p.value
burrow_density,marsh,3,3204.525000000003,1068.1750000000009,4.198465875243356,0.008945688599589238
burrow_density,habitat,3,16052.074999999999,5350.691666666667,21.030913821657478,1.3502729966935054e-9
burrow_density,marsh:habitat,9,6218.499999999999,690.9444444444443,2.7157597506859603,0.009576294525645155
burrow_density,Residuals,64,16282.900000000005,254.42031250000008,NA,NA
uca_cpue,marsh,3,4731.974999999994,1577.324999999998,5.102573304555714,0.003146556793205215
uca_cpue,habitat,3,6232.774999999993,2077.5916666666644,6.720912796095129,5.167487394503004e-4
uca_cpue,marsh:habitat,9,10117.349999999995,1124.1499999999994,3.636573173135727,0.0010260011717188229
uca_cpue,Residuals,64,19783.900000000016,309.12343750000025,NA,NA
carcinus_cpue,marsh,3,7341.125000000033,2447.0416666666774,14.855596238609364,1.9113640613897104e-7
carcinus_cpue,habitat,3,12719.875000000004,4239.958333333335,25.74010484845041,4.846074479888453e-11
carcinus_cpue,marsh:habitat,9,3282.3000000000116,364.7000000000013,2.2140350211530917,0.03225285849173586
carcinus_cpue,Residuals,64,10542.19999999998,164.7218749999997,NA,NA
sesarma_cpue,marsh,3,1920.525000000002,640.1750000000006,5.103664764941827,0.003142637429768156
sesarma_cpue,habitat,3,3354.4749999999995,1118.158333333333,8.91428951061726,5.0992327145460856e-5
sesarma_cpue,marsh:habitat,9,4276.200000000002,475.1333333333335,3.787903701304631,7.140212993166909e-4
sesarma_cpue,Residuals,64,8027.8000000000075,125.43437500000012,NA,NA
